x1,x2,class_label
2.912967721234155,3.3894230370032306,1.0
2.747276099681895,5.428548034098559,1.0
1.883484471772369,3.6713537519870423,1.0
4.220273079459428,7.742752101926449,1.0
3.4959982247714843,6.108792297276876,1.0
4.048694924342242,9.313480843712256,1.0
4.101244405216909,4.3702216688294655,1.0
5.318336893805215,-1.5008497839892856,-1.0
2.7238098255253993,5.1157477495703425,1.0
4.931422650800197,-0.45748499894245187,-1.0
3.3782316749721804,-1.138257385243847,-1.0
2.662898399180159,6.690822912274089,1.0
3.2708094600512463,5.812245347675429,1.0
4.318822311695058,0.729678783898426,-1.0
3.899358135441048,4.098726864328875,1.0
3.753765903417878,2.511094191147105,1.0
3.668322075362824,5.3588210596593395,1.0
2.6389480380452515,6.688949946961481,1.0
3.979522387349258,3.5914265133126766,1.0
4.113262671224921,4.407129959458349,1.0
2.228719852888842,7.536947424610094,1.0
1.9277693588562836,-1.3540577539878003,-1.0
2.059772699158721,5.333522344230424,1.0
3.42768179875475,4.475130942581286,1.0
2.1994873110253526,-3.107097653517486,-1.0
3.2083247992502524,-3.3082597339478257,-1.0
3.490703497303716,8.599795961305329,1.0
2.5395704052789734,7.155106078549244,1.0
2.264638394726547,8.035812825856976,1.0
2.9323806677675046,7.689642453160565,1.0
2.8000085825948404,2.7696199985653513,1.0
2.1465591860531763,3.2224282681207472,1.0
2.1250181109379804,5.871293182042706,1.0
4.3836330691948255,-4.598771158879796,-1.0
4.403250961617196,-0.053839088489672005,-1.0
5.478419027267669,-3.406323043972816,-1.0
3.3035148531628695,-0.8549568567180028,-1.0
2.149730938791893,-2.957390562724786,-1.0
4.019426987834928,-2.0155698683156125,-1.0
3.731411885303127,8.090037706907172,1.0
1.7665178342216328,5.460380577548939,1.0
2.4867742737033995,0.05352797629976358,-1.0
3.6368745809775325,5.723686808464004,1.0
3.3972915540829196,5.475591575450139,1.0
2.681729465603226,-2.3431515601428266,-1.0
3.9311487393908555,6.9525346858555,1.0
3.766110429324792,7.0400517954059545,1.0
3.189387380995153,5.88874295433521,1.0
4.351617257319727,4.6240671198656305,1.0
2.8839521447826724,7.9223276288631945,1.0
3.656249793331102,6.337246861807159,1.0
2.726776770998825,-0.07888648022557265,-1.0
2.7545844360072373,6.35016660154946,1.0
4.0359204794359735,0.43074064355658104,-1.0
1.7830199232799133,5.546891189859374,1.0
3.0904829888268965,4.565669350283111,1.0
2.4651324802702357,5.251965983191999,1.0
2.231020721038723,6.239574499701712,1.0
2.911185959916455,6.3068373038705134,1.0
2.9458783003055005,5.813429000553482,1.0
3.029162545394515,4.756862313677329,1.0
4.163301540718347,4.664621720168006,1.0
2.983028736707307,5.866044553221084,1.0
3.320411669676641,6.689007471129885,1.0
2.712700476272102,6.986239347811015,1.0
3.365080158657449,4.959904809752403,1.0
2.4569906337691734,5.154561935553265,1.0
1.4077250960920031,6.443183923559078,1.0
2.8600979500384907,-2.432036795643029,-1.0
4.037998239519149,4.666191179933973,1.0
3.392947873311292,5.675159019890466,1.0
4.52936194482764,-1.3791213118547443,-1.0
3.865436590207064,-2.811755998228054,-1.0
1.224875197725748,-2.6225642381851446,-1.0
2.9952500347524422,5.062495917211001,1.0
3.1290170055912103,5.9852810214773156,1.0
3.7633218306876923,7.143507909470803,1.0
2.672070732246757,5.5230806936377785,1.0
-1.4648140159216565,-0.6551585611060127,-1.0
3.179614803478412,5.1409900459421864,1.0
4.8722027471182985,6.312102223300097,1.0
3.232779486811061,6.879196206859682,1.0
3.0394844169346666,-2.142655363480383,-1.0
3.7493164164260033,-2.007497851574298,-1.0
2.7149826350978907,7.874533771287122,1.0
